datetime,avg_price,min_price,max_price,volume,item,date,time,avg_price_7d
2025-04-05 00:00:00+00:00,70.0,60,80,123,Gara,2025-04-05,00:00:00,70.0
2025-04-06 00:00:00+00:00,70.0,65,75,106,Gara,2025-04-06,00:00:00,70.0
2025-04-07 00:00:00+00:00,70.0,60,80,87,Gara,2025-04-07,00:00:00,70.0
2025-04-08 00:00:00+00:00,72.5,65,80,72,Gara,2025-04-08,00:00:00,70.625
2025-04-09 00:00:00+00:00,74.5,69,80,73,Gara,2025-04-09,00:00:00,71.4
2025-04-10 00:00:00+00:00,73.5,72,75,55,Gara,2025-04-10,00:00:00,71.75
2025-04-11 00:00:00+00:00,75.0,65,85,84,Gara,2025-04-11,00:00:00,72.21428571428571
2025-04-12 00:00:00+00:00,70.0,65,75,96,Gara,2025-04-12,00:00:00,72.21428571428571
2025-04-13 00:00:00+00:00,70.0,68,72,69,Gara,2025-04-13,00:00:00,72.21428571428571
2025-04-14 00:00:00+00:00,72.5,65,80,82,Gara,2025-04-14,00:00:00,72.57142857142857
2025-04-15 00:00:00+00:00,70.0,65,75,68,Gara,2025-04-15,00:00:00,72.21428571428571
2025-04-16 00:00:00+00:00,74.0,68,80,65,Gara,2025-04-16,00:00:00,72.14285714285714
2025-04-17 00:00:00+00:00,71.0,62,80,71,Gara,2025-04-17,00:00:00,71.78571428571429
2025-04-18 00:00:00+00:00,70.0,60,80,84,Gara,2025-04-18,00:00:00,71.07142857142857
2025-04-19 00:00:00+00:00,71.5,63,80,99,Gara,2025-04-19,00:00:00,71.28571428571429
2025-04-20 00:00:00+00:00,71.5,63,80,88,Gara,2025-04-20,00:00:00,71.5
2025-04-21 00:00:00+00:00,72.5,65,80,81,Gara,2025-04-21,00:00:00,71.5
2025-04-22 00:00:00+00:00,72.5,65,80,74,Gara,2025-04-22,00:00:00,71.85714285714286
2025-04-23 00:00:00+00:00,72.5,65,80,68,Gara,2025-04-23,00:00:00,71.64285714285714
2025-04-24 00:00:00+00:00,72.5,65,80,82,Gara,2025-04-24,00:00:00,71.85714285714286
2025-04-25 00:00:00+00:00,73.5,65,82,59,Gara,2025-04-25,00:00:00,72.35714285714286
2025-04-26 00:00:00+00:00,72.5,65,80,75,Gara,2025-04-26,00:00:00,72.5
2025-04-27 00:00:00+00:00,71.5,63,80,81,Gara,2025-04-27,00:00:00,72.5
2025-04-28 00:00:00+00:00,73.0,61,85,60,Gara,2025-04-28,00:00:00,72.57142857142857
2025-04-29 00:00:00+00:00,75.0,65,85,51,Gara,2025-04-29,00:00:00,72.92857142857143
2025-04-30 00:00:00+00:00,72.5,65,80,54,Gara,2025-04-30,00:00:00,72.92857142857143
2025-05-01 00:00:00+00:00,78.5,75,82,65,Gara,2025-05-01,00:00:00,73.78571428571429
2025-05-02 00:00:00+00:00,79.0,78,80,65,Gara,2025-05-02,00:00:00,74.57142857142857
2025-05-03 00:00:00+00:00,79.5,69,90,144,Gara,2025-05-03,00:00:00,75.57142857142857
2025-05-04 00:00:00+00:00,79.5,79,80,89,Gara,2025-05-04,00:00:00,76.71428571428571
2025-05-05 00:00:00+00:00,79.0,78,80,61,Gara,2025-05-05,00:00:00,77.57142857142857
2025-05-06 00:00:00+00:00,79.0,78,80,47,Gara,2025-05-06,00:00:00,78.14285714285714
2025-05-07 00:00:00+00:00,82.5,65,100,76,Gara,2025-05-07,00:00:00,79.57142857142857
2025-05-08 00:00:00+00:00,80.0,75,85,60,Gara,2025-05-08,00:00:00,79.78571428571429
2025-05-09 00:00:00+00:00,80.0,72,88,57,Gara,2025-05-09,00:00:00,79.92857142857143
2025-05-10 00:00:00+00:00,78.0,66,90,92,Gara,2025-05-10,00:00:00,79.71428571428571
2025-05-11 00:00:00+00:00,80.0,75,85,84,Gara,2025-05-11,00:00:00,79.78571428571429
2025-05-12 00:00:00+00:00,80.0,75,85,57,Gara,2025-05-12,00:00:00,79.92857142857143
2025-05-13 00:00:00+00:00,80.0,75,85,73,Gara,2025-05-13,00:00:00,80.07142857142857
2025-05-14 00:00:00+00:00,78.0,66,90,91,Gara,2025-05-14,00:00:00,79.42857142857143
2025-05-15 00:00:00+00:00,78.5,77,80,52,Gara,2025-05-15,00:00:00,79.21428571428571
2025-05-16 00:00:00+00:00,78.5,77,80,51,Gara,2025-05-16,00:00:00,79.0
2025-05-17 00:00:00+00:00,79.0,78,80,53,Gara,2025-05-17,00:00:00,79.14285714285714
2025-05-18 00:00:00+00:00,75.0,65,85,110,Gara,2025-05-18,00:00:00,78.42857142857143
2025-05-19 00:00:00+00:00,77.5,70,85,78,Gara,2025-05-19,00:00:00,78.07142857142857
2025-05-20 00:00:00+00:00,79.0,78,80,41,Gara,2025-05-20,00:00:00,77.92857142857143
2025-05-21 00:00:00+00:00,78.5,77,80,49,Gara,2025-05-21,00:00:00,78.0
2025-05-22 00:00:00+00:00,78.5,77,80,52,Gara,2025-05-22,00:00:00,78.0
2025-05-23 00:00:00+00:00,79.5,69,90,99,Gara,2025-05-23,00:00:00,78.14285714285714
2025-05-24 00:00:00+00:00,79.0,78,80,72,Gara,2025-05-24,00:00:00,78.14285714285714
2025-05-25 00:00:00+00:00,80.0,75,85,119,Gara,2025-05-25,00:00:00,78.85714285714286
2025-05-26 00:00:00+00:00,80.0,75,85,90,Gara,2025-05-26,00:00:00,79.21428571428571
2025-05-27 00:00:00+00:00,80.0,72,88,78,Gara,2025-05-27,00:00:00,79.35714285714286
2025-05-28 00:00:00+00:00,80.0,70,90,80,Gara,2025-05-28,00:00:00,79.57142857142857
2025-05-29 00:00:00+00:00,78.5,67,90,74,Gara,2025-05-29,00:00:00,79.57142857142857
2025-05-30 00:00:00+00:00,81.5,75,88,77,Gara,2025-05-30,00:00:00,79.85714285714286
2025-05-31 00:00:00+00:00,78.0,66,90,91,Gara,2025-05-31,00:00:00,79.71428571428571
2025-06-01 00:00:00+00:00,80.0,75,85,85,Gara,2025-06-01,00:00:00,79.71428571428571
2025-06-02 00:00:00+00:00,80.0,75,85,55,Gara,2025-06-02,00:00:00,79.71428571428571
2025-06-03 00:00:00+00:00,80.0,72,88,58,Gara,2025-06-03,00:00:00,79.71428571428571
2025-06-04 00:00:00+00:00,79.5,79,80,53,Gara,2025-06-04,00:00:00,79.64285714285714
2025-06-05 00:00:00+00:00,80.0,75,85,49,Gara,2025-06-05,00:00:00,79.85714285714286
2025-06-06 00:00:00+00:00,70.0,50,90,81,Gara,2025-06-06,00:00:00,78.21428571428571
2025-06-07 00:00:00+00:00,79.5,78,81,60,Gara,2025-06-07,00:00:00,78.42857142857143
2025-06-08 00:00:00+00:00,80.0,70,90,89,Gara,2025-06-08,00:00:00,78.42857142857143
2025-06-09 00:00:00+00:00,80.0,75,85,64,Gara,2025-06-09,00:00:00,78.42857142857143
2025-06-10 00:00:00+00:00,79.5,70,89,67,Gara,2025-06-10,00:00:00,78.35714285714286
2025-06-11 00:00:00+00:00,80.0,75,85,60,Gara,2025-06-11,00:00:00,78.42857142857143
2025-06-12 00:00:00+00:00,77.5,75,80,49,Gara,2025-06-12,00:00:00,78.07142857142857
2025-06-13 00:00:00+00:00,76.5,73,80,53,Gara,2025-06-13,00:00:00,79.0
2025-06-14 00:00:00+00:00,74.5,64,85,78,Gara,2025-06-14,00:00:00,78.28571428571429
2025-06-15 00:00:00+00:00,75.0,65,85,96,Gara,2025-06-15,00:00:00,77.57142857142857
2025-06-16 00:00:00+00:00,77.0,74,80,49,Gara,2025-06-16,00:00:00,77.14285714285714
2025-06-17 00:00:00+00:00,79.0,78,80,47,Gara,2025-06-17,00:00:00,77.07142857142857
2025-06-18 00:00:00+00:00,79.0,78,80,46,Gara,2025-06-18,00:00:00,76.92857142857143
2025-06-19 00:00:00+00:00,76.5,73,80,52,Gara,2025-06-19,00:00:00,76.78571428571429
2025-06-20 00:00:00+00:00,71.0,65,77,61,Gara,2025-06-20,00:00:00,76.0
2025-06-21 00:00:00+00:00,70.0,65,75,74,Gara,2025-06-21,00:00:00,75.35714285714286
2025-06-22 00:00:00+00:00,70.0,65,75,85,Gara,2025-06-22,00:00:00,74.64285714285714
2025-06-23 00:00:00+00:00,68.5,62,75,50,Gara,2025-06-23,00:00:00,73.42857142857143
2025-06-24 00:00:00+00:00,70.0,68,72,39,Gara,2025-06-24,00:00:00,72.14285714285714
2025-06-25 00:00:00+00:00,70.0,60,80,66,Gara,2025-06-25,00:00:00,70.85714285714286
2025-06-26 00:00:00+00:00,69.5,69,70,26,Gara,2025-06-26,00:00:00,69.85714285714286
2025-06-27 00:00:00+00:00,69.0,68,70,33,Gara,2025-06-27,00:00:00,69.57142857142857
2025-06-28 00:00:00+00:00,70.0,65,75,58,Gara,2025-06-28,00:00:00,69.57142857142857
2025-06-29 00:00:00+00:00,100.5,51,150,73,Gara,2025-06-29,00:00:00,73.92857142857143
2025-06-30 00:00:00+00:00,69.5,68,71,44,Gara,2025-06-30,00:00:00,74.07142857142857
2025-07-01 00:00:00+00:00,70.0,65,75,61,Gara,2025-07-01,00:00:00,74.07142857142857
